'HeardPhone','P','B','T','D','K','G','JH','CH','F','V','TH','DH','S','Z','SH','HH','M','N','L','R','NG','Y','W','ZH','IH1','IY1','EY1','AY1','OY1','EH1','AE1','ER1','UH1','UW1','AW1','OW1','AO1','AH1','AA1'
'TH',0.00421423000567,0.0209651620614,0.00209606910464,0.0104409970368,0.00209168554994,0.00838870139914,4.33954321968e-06,4.33954321968e-06,0.104808233143,0.0292269478822,0.458872482984,0.108545407007,0.00629262462209,0.00625328177956,4.35767822904e-06,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'DH',0.00210933068633,0.0545023904943,0.00209606910464,0.0125283249085,4.35767822904e-06,0.0104847781762,4.33954321968e-06,4.33954321968e-06,0.0377337762779,0.102283423392,0.204179665343,0.536447620708,0.00629262462209,0.0499958774339,4.35767822904e-06,1.7641973784e-05,0.00208732028867,4.37592714956e-06,0.00209606910464,0.00209168554994,0.00841522149498,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'S',4.43136698809e-06,0.00210047106799,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.33954321968e-06,0.00629262462209,4.35767822904e-06,0.00421423000567,4.35767822904e-06,0.911797792308,0.0749916463793,0.00835366916507,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'Z',4.43136698809e-06,4.39429093721e-06,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.33954321968e-06,4.39429093721e-06,4.35767822904e-06,4.43136698809e-06,0.00626634129336,0.0314455459467,0.845694522195,4.35767822904e-06,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,0.00841522149498,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'SH',4.43136698809e-06,4.39429093721e-06,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,0.00417030103411,0.00210047106799,4.35767822904e-06,4.43136698809e-06,4.35767822904e-06,0.0230612388385,4.33954321968e-06,0.903817326129,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,0.0629994883828,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'HH',0.092620001418,0.0356376995008,0.00209606910464,4.35767822904e-06,0.0104409970368,0.0104847781762,4.33954321968e-06,4.33954321968e-06,0.00210047106799,0.0125283249085,4.43136698809e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,0.835576804333,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,0.00418119675914,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'M',4.43136698809e-06,0.00210047106799,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,0.00210047106799,4.33954321968e-06,4.33954321968e-06,4.39429093721e-06,4.35767822904e-06,4.43136698809e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,1.7641973784e-05,0.951926540212,0.0439299326545,0.00209606910464,4.35767822904e-06,0.0420055395798,0.00418119675914,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'N',4.43136698809e-06,4.39429093721e-06,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.33954321968e-06,4.39429093721e-06,4.35767822904e-06,4.43136698809e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,1.7641973784e-05,0.027083089234,0.926624453556,4.37592714956e-06,4.35767822904e-06,0.0881922269464,0.00418119675914,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'L',0.00210933068633,4.39429093721e-06,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.33954321968e-06,4.39429093721e-06,0.00835366916507,4.43136698809e-06,0.108545407007,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,1.7641973784e-05,0.00833626252501,0.00418776228213,0.962183237573,0.00209168554994,0.00841522149498,1.73493641458e-05,0.00418119675914,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'R',0.00210933068633,0.00210047106799,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,0.00419654784504,4.33954321968e-06,4.33954321968e-06,0.00629262462209,0.00626634129336,4.43136698809e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,1.7641973784e-05,0.00208732028867,4.37592714956e-06,4.37592714956e-06,0.962262506537,0.00421643173438,1.73493641458e-05,1.73493641458e-05,0.00421643173438,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
