'HeardPhone','P','B','T','D','K','G','JH','CH','F','V','TH','DH','S','Z','SH','HH','M','N','L','R','NG','Y','W','ZH','IH1','IY1','EY1','AY1','OY1','EH1','AE1','ER1','UH1','UW1','AW1','OW1','AO1','AH1','AA1'
'TH',0.0476150325787,0.0440493803206,0.0549631761467,0.0534138581139,0.0363228842844,0.0410339166449,0.0146462281696,0.00417901342165,0.106045914663,0.0347054949191,0.192278020478,0.0961412926875,0.0949246823755,0.0598229732999,0.00209168554994,0.0482286680891,0.00423206177827,0.00630584912737,0.0150556726963,0.0042410343636,1.77910617706e-05,0.00427041111754,1.80949623625e-05,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'DH',0.0173175381646,0.0682738716015,0.0295976189625,0.104686779602,0.0149591669976,0.0388744822954,0.0439299326545,0.00835366916507,0.058435566298,0.106275875047,0.113232266517,0.241414570238,0.0569565894578,0.158096072819,0.00417901342165,0.0219326067316,0.00423206177827,0.0105068066986,0.0387073206821,0.0105958541084,0.0126672359806,0.0127750434279,0.00427041111754,0.0458196707091,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'S',4.6842137313e-06,0.00220707719919,0.00634585821029,0.0106864235403,4.56489685616e-06,0.004323532704,0.00209606910464,4.35767822904e-06,0.00216879095759,0.00434230334964,0.00427730835422,0.0170955387263,0.592728567296,0.0512774863852,0.0104409970368,0.00440189915999,4.4689142326e-06,4.41277055799e-06,4.62397810084e-06,4.48786705143e-06,1.77910617706e-05,1.80949623625e-05,1.80949623625e-05,0.00834504415413,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'Z',4.6842137313e-06,0.00440930367927,0.00845965464231,0.0106864235403,4.56489685616e-06,0.00648296705347,0.00209606910464,4.35767822904e-06,4.6842137313e-06,0.00217350395183,0.00427730835422,0.0512774863852,0.048519235476,0.350369528401,4.35767822904e-06,1.92222670742e-05,0.00211826534625,0.00840632791298,0.00215477379499,4.48786705143e-06,1.77910617706e-05,0.0170273595831,1.80949623625e-05,0.0374919759191,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'SH',4.6842137313e-06,4.85071911911e-06,0.00423206177827,4.56489685616e-06,0.00214093662554,4.66400507444e-06,0.00209606910464,0.00626634129336,0.00433289770146,4.70455400828e-06,0.00214093662554,0.00214093662554,0.0253165120263,0.00214093662554,0.789014293185,1.92222670742e-05,4.4689142326e-06,4.41277055799e-06,4.62397810084e-06,4.48786705143e-06,1.77910617706e-05,1.80949623625e-05,1.80949623625e-05,0.0250004337341,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'HH',0.203430718137,0.0792850040018,0.141628829859,0.0235046539123,0.143141470718,0.0539905227417,0.00627945545963,0.00209168554994,0.0735843135051,0.0455494919082,0.0534138581139,0.00855005181158,0.0105511425584,0.00427730835422,4.35767822904e-06,0.385694788843,0.0169148403704,0.00210489155616,0.00430492361188,0.0360151330877,1.77910617706e-05,0.0297843080486,0.0170273595831,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'M',0.00866111118918,0.0682738716015,0.00211826534625,0.019231910455,0.00214093662554,0.0129612701019,0.00418776228213,4.35767822904e-06,0.00216879095759,0.0368742943169,0.00427730835422,0.0064136800829,4.45008121398e-06,0.0064136800829,4.35767822904e-06,0.0175499298387,0.608777841336,0.126033139907,0.0709595679355,0.0190689471015,0.156027611728,0.0255319918935,0.0595505211349,0.00418119675914,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'N',0.00216879095759,0.0110159831195,0.00423206177827,0.130323240346,0.0106864235403,0.0518310883922,0.00209606910464,0.00209168554994,4.6842137313e-06,0.0151863003387,0.00427730835422,0.0299137690984,4.45008121398e-06,0.0299137690984,4.35767822904e-06,0.00440189915999,0.090897715491,0.69316241202,0.0279565715977,0.0042410343636,0.257223171079,0.0255319918935,1.80949623625e-05,0.0166727389441,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'L',0.00216879095759,0.024229342,0.00211826534625,0.0341865125557,4.56489685616e-06,0.0172801388008,0.00627945545963,4.35767822904e-06,0.00216879095759,0.00867990214528,0.00214093662554,0.0534138581139,4.45008121398e-06,0.00855005181158,4.35767822904e-06,0.00440189915999,0.0317114153945,0.0210092006266,0.645049569045,0.0042410343636,0.00845075434102,0.0170273595831,0.0297843080486,0.00418119675914,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'R',0.00866111118918,0.0154204360796,4.4689142326e-06,0.00214093662554,4.56489685616e-06,0.0108018357524,0.00418776228213,4.35767822904e-06,0.00866111118918,0.0173550997365,0.00427730835422,0.00214093662554,4.45008121398e-06,0.0128227952689,4.35767822904e-06,0.00440189915999,0.0105734510743,0.00630584912737,0.0150556726963,0.777410769983,0.0168837176203,1.80949623625e-05,0.00427041111754,0.00418119675914,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'NG',4.6842137313e-06,4.85071911911e-06,4.4689142326e-06,0.0149591669976,4.56489685616e-06,0.0129612701019,4.37592714956e-06,4.35767822904e-06,4.6842137313e-06,0.00434230334964,0.00427730835422,0.00427730835422,4.45008121398e-06,4.56489685616e-06,4.35767822904e-06,1.92222670742e-05,0.0718735476029,0.0525163824107,4.62397810084e-06,4.48786705143e-06,0.35420224879,1.80949623625e-05,1.80949623625e-05,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'Y',0.00649700444532,0.0198248890398,0.00423206177827,0.0363228842844,0.00214093662554,0.0993386440804,0.00418776228213,0.00209168554994,0.00866111118918,0.0108487015431,0.00214093662554,0.0064136800829,4.45008121398e-06,0.00214093662554,4.35767822904e-06,1.92222670742e-05,0.00423206177827,0.00210489155616,0.0107553730626,4.48786705143e-06,1.77910617706e-05,0.671884047481,0.0425412565142,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'W',0.00433289770146,0.0198248890398,0.00423206177827,0.00214093662554,0.00855005181158,0.00648296705347,4.37592714956e-06,4.35767822904e-06,0.0194816449085,0.0260302973278,0.00855005181158,0.00427730835422,4.45008121398e-06,0.0384592560131,4.35767822904e-06,0.0175499298387,0.00845965464231,0.00210489155616,0.00430492361188,0.014832400605,1.77910617706e-05,0.0212796757383,0.748425738274,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'ZH',4.6842137313e-06,0.0132182095996,4.4689142326e-06,0.0277773973697,4.56489685616e-06,0.0108018357524,0.0899471825593,0.00835366916507,0.00433289770146,0.0195238991344,0.00214093662554,0.0277773973697,0.00211378857664,0.0277773973697,0.0125283249085,1.92222670742e-05,4.4689142326e-06,0.00630584912737,0.00215477379499,4.48786705143e-06,0.00423427270139,1.80949623625e-05,1.80949623625e-05,0.516334426343,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'IH1',4.6842137313e-06,4.85071911911e-06,4.4689142326e-06,4.56489685616e-06,4.56489685616e-06,4.66400507444e-06,4.37592714956e-06,4.35767822904e-06,4.6842137313e-06,4.70455400828e-06,4.56489685616e-06,4.56489685616e-06,4.45008121398e-06,4.56489685616e-06,4.35767822904e-06,1.92222670742e-05,4.4689142326e-06,4.41277055799e-06,4.62397810084e-06,4.48786705143e-06,1.77910617706e-05,1.80949623625e-05,1.80949623625e-05,1.73493641458e-05,0.839872789996,0.042771408,0.0367637677618,0.071633593007,2.13723164385e-06,0.0535690166356,0.00882494772283,0.00291733508983,2.27475387163e-06,0.00739800662998,2.14978405419e-06,0.00296051551918,0.00148135181559,2.16882102889e-06,0.00298258861153
